Seat No,Gender,DOB,Attempt,city,State,Category,Phy,Chem,Bio,Total,Year
NEET2024100001,Male,04/03/2007,1,Pune,Maharashtra,EWS,36,100,185,321,2023
NEET2024100002,Male,15/08/2006,1,Thane,Maharashtra,EWS,38,37,107,182,2024
NEET2026100003,Female,11/01/2008,1,Delhi,Delhi,OBC,169,137,172,478,2026
NEET2023100004,Male,25/10/2003,4,Aurangabad,Maharashtra,General,69,85,232,386,2025
NEET2023100005,Female,09/11/2003,1,Ratnagiri,Maharashtra,EWS,97,41,295,433,2025
NEET2023100006,Male,18/01/2007,2,Ratnagiri,Maharashtra,SC,122,177,158,457,2023
NEET2026100007,Female,11/08/2002,2,Chennai,Tamil Nadu,SC,55,127,202,384,2025
NEET2024100008,Male,08/05/2002,4,Delhi,Delhi,ST,98,48,147,293,2025
NEET2023100009,Male,06/03/2007,1,Bengaluru,Karnataka,SC,172,86,226,484,2026
NEET2024100010,Female,01/01/2003,4,Pune,Maharashtra,ST,84,175,221,480,2024
NEET2025100011,Female,20/12/2002,4,Nagpur,Maharashtra,SC,93,173,335,601,2024
NEET2023100012,Male,20/07/2001,2,Sangli,Maharashtra,ST,156,53,84,293,2023
NEET2023100013,Male,25/04/2004,3,Thane,Maharashtra,SC,149,165,188,502,2023
NEET2025100014,Male,17/04/2003,1,Thane,Maharashtra,SC,70,146,61,277,2024
NEET2023100015,Female,18/09/2001,4,Kolhapur,Maharashtra,General,71,168,331,570,2023
NEET2024100016,Male,26/01/2004,1,Kolkata,West Bengal,ST,108,91,89,288,2023
NEET2024100017,Female,12/07/2008,4,Sangli,Maharashtra,OBC,62,62,303,427,2024
NEET2026100018,Male,30/12/2007,2,Aurangabad,Maharashtra,OBC,132,125,284,541,2023
NEET2024100019,Male,16/10/2003,1,Mumbai,Maharashtra,General,180,171,177,528,2024
NEET2024100020,Female,03/10/2000,4,Kolkata,West Bengal,OBC,38,114,96,248,2024
NEET2024100021,Female,10/02/2008,4,Kolkata,West Bengal,OBC,176,177,302,655,2023
NEET2026100022,Female,01/02/2001,1,Delhi,Delhi,General,140,120,276,536,2023
NEET2024100023,Male,07/07/2004,4,Bengaluru,Karnataka,OBC,116,57,187,360,2026
NEET2026100024,Male,21/01/2002,1,Aurangabad,Maharashtra,EWS,148,93,98,339,2023
NEET2026100025,Female,17/01/2001,2,Kolkata,West Bengal,ST,90,72,268,430,2023
NEET2026100026,Female,05/11/2001,4,Thane,Maharashtra,EWS,30,129,195,354,2026
NEET2023100027,Female,26/09/2001,1,Nashik,Maharashtra,General,105,85,89,279,2026
NEET2023100028,Male,21/08/2005,1,Kolkata,West Bengal,EWS,165,70,89,324,2023
NEET2024100029,Male,28/07/2007,1,Chennai,Tamil Nadu,ST,90,133,121,344,2025
NEET2026100030,Male,04/12/2002,3,Nashik,Maharashtra,ST,110,91,195,396,2025
NEET2023100031,Male,06/06/2008,2,Kolkata,West Bengal,EWS,48,32,294,374,2025
NEET2025100032,Female,26/06/2001,2,Kolkata,West Bengal,ST,119,47,185,351,2025
NEET2025100033,Male,10/11/2006,2,Hyderabad,uu,SC,165,32,343,540,2023
NEET2025100034,Male,14/03/2001,3,Bengaluru,Karnataka,OBC,171,69,199,439,2025
NEET2026100035,Female,01/09/2005,1,Solapur,Maharashtra,General,94,43,107,244,2025
NEET2026100036,Male,24/08/2008,1,Nagpur,Maharashtra,General,97,71,286,454,2024
NEET2024100037,Female,12/02/2006,2,Mumbai,Maharashtra,General,124,179,342,645,2025
NEET2024100038,Male,02/02/2004,3,Kolkata,West Bengal,EWS,40,121,167,328,2026
NEET2024100039,Female,17/12/2006,1,Bengaluru,Karnataka,OBC,69,90,143,302,2025
NEET2024100040,Male,09/10/2008,4,Kolkata,West Bengal,General,135,93,196,424,2026
NEET2024100041,Male,30/06/2002,1,Nashik,Maharashtra,OBC,147,119,216,482,2026
NEET2026100042,Female,06/09/2003,1,Aurangabad,Maharashtra,General,47,101,239,387,2025
NEET2026100043,Female,01/01/2002,3,Ratnagiri,Maharashtra,ST,97,39,115,251,2023
NEET2023100044,Female,26/04/2004,1,Kolkata,West Bengal,EWS,177,78,190,445,2024
NEET2023100045,Female,31/01/2004,3,Thane,Maharashtra,ST,47,114,220,381,2025
NEET2024100046,Female,06/07/2004,4,Bengaluru,Karnataka,OBC,105,171,125,401,2025
NEET2024100047,Female,21/07/2004,3,Sangli,Maharashtra,ST,30,107,206,343,2026
NEET2024100048,Male,16/12/2004,3,Delhi,Delhi,EWS,84,160,302,546,2025
NEET2024100049,Male,17/01/2001,1,Chennai,Tamil Nadu,General,90,109,175,374,2024
NEET2024100050,Female,30/04/2005,4,Ratnagiri,Maharashtra,ST,48,146,272,466,2024
NEET2024100051,Male,27/08/2001,4,Delhi,Delhi,General,31,57,277,365,2024
NEET2025100052,Female,12/05/2001,4,Solapur,Maharashtra,EWS,64,148,331,543,2026
NEET2024100053,Female,13/10/2001,4,Bengaluru,Karnataka,OBC,151,145,192,488,2025
NEET2025100054,Female,06/12/2004,1,Pune,Maharashtra,OBC,103,90,199,392,2024
NEET2026100055,Female,05/08/2002,3,Thane,Maharashtra,EWS,69,84,92,245,2026
NEET2023100056,Female,30/08/2004,4,Mumbai,Maharashtra,General,82,137,259,478,2025
NEET2024100057,Female,08/05/2003,2,Hyderabad,Telangana,SC,129,137,335,601,2026
NEET2024100058,Female,12/06/2005,2,Mumbai,Maharashtra,EWS,129,116,267,512,2023
NEET2026100059,Male,01/06/2004,4,Ratnagiri,Maharashtra,OBC,174,36,102,312,2023
NEET2025100060,Female,01/12/2002,4,Thane,Maharashtra,SC,113,84,292,489,2026
NEET2023100061,Female,30/10/2002,2,Chennai,Tamil Nadu,General,50,150,69,269,2023
NEET2024100062,Male,16/06/2008,2,Mumbai,Maharashtra,ST,93,81,70,244,2023
NEET2024100063,Male,29/04/2006,2,Nashik,Maharashtra,SC,149,95,248,492,2023
NEET2026100064,Male,28/06/2006,1,Mumbai,Maharashtra,EWS,109,177,252,538,2024
NEET2023100065,Female,21/02/2001,4,Bengaluru,Karnataka,SC,107,60,349,516,2023
NEET2026100066,Male,03/09/2005,4,Delhi,Delhi,SC,117,33,275,425,2026
NEET2025100067,Female,07/12/2007,4,Nagpur,Maharashtra,ST,141,75,327,543,2025
NEET2026100068,Male,13/08/2003,4,Chennai,Tamil Nadu,EWS,92,52,202,346,2026
NEET2026100069,Male,09/10/2003,3,Mumbai,Maharashtra,SC,156,113,153,422,2025
NEET2024100070,Male,19/02/2003,2,Kolkata,West Bengal,ST,100,172,65,337,2026
NEET2026100071,Male,24/03/2006,1,Hyderabad,Telangana,SC,91,151,311,553,2024
NEET2025100072,Female,14/07/2004,3,Bengaluru,Karnataka,ST,92,108,357,557,2025
NEET2025100073,Male,12/12/2003,1,Bengaluru,Karnataka,OBC,146,99,216,461,2025
NEET2024100074,Female,04/05/2001,3,Bengaluru,Karnataka,EWS,167,77,158,402,2025
NEET2025100075,Male,15/02/2001,3,Chennai,Tamil Nadu,General,79,105,176,360,2024
